epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,86.1232,0.89271,1.04909,1.21857,1.05647,0,0.96009,0.62716,0.77153,0.54008,0.95613,0.61682,0.76662,0.49507,0.87334,0.82944,0.81841,1.04366,0,0.000474761,0.000474761,0.000474761
2,166.435,0.75652,0.65604,0.65486,0.98155,0,0.97775,0.64161,0.69595,0.55791,0.97768,0.64178,0.71062,0.53427,0.67774,0.52262,0.50042,0.96057,0,0.000927555,0.000927555,0.000927555
3,244.488,0.72907,0.62304,0.54254,0.96684,0,0.66148,0.75336,0.72957,0.55984,0.63974,0.76582,0.76241,0.54467,0.62032,0.49314,0.51153,0.93025,0,0.00135677,0.00135677,0.00135677
4,322.266,0.70761,0.59511,0.49987,0.95892,0,0.6974,0.86613,0.7918,0.60897,0.71364,0.87186,0.81327,0.61239,0.5996,0.47061,0.4239,0.89837,0,0.0013229,0.0013229,0.0013229
5,400.029,0.67422,0.56559,0.45917,0.94653,0,0.57475,0.78208,0.74261,0.56145,0.62836,0.91169,0.78697,0.50228,0.71787,0.66233,0.47571,0.97949,0,0.00128753,0.00128753,0.00128753
6,479.585,0.65583,0.55265,0.43589,0.93889,0,0.72749,0.80801,0.7442,0.58104,0.81118,0.8166,0.81108,0.53807,0.60574,0.56773,0.38967,0.90259,0,0.00125216,0.00125216,0.00125216
7,558.936,0.64262,0.54729,0.42085,0.93413,0,0.74933,0.88308,0.78415,0.63154,0.75918,0.90474,0.79274,0.60408,0.55111,0.44495,0.35949,0.85999,0,0.00121679,0.00121679,0.00121679
8,636.685,0.63284,0.5301,0.41313,0.92781,0,0.75127,0.88218,0.80843,0.62931,0.81549,0.79844,0.86928,0.63377,0.56077,0.40269,0.36096,0.87753,0,0.00118143,0.00118143,0.00118143
9,719.238,0.61148,0.52337,0.39255,0.9217,0,0.84178,0.88913,0.8804,0.65967,0.86507,0.88816,0.9066,0.65608,0.61322,0.42587,0.35371,0.93335,0,0.00114606,0.00114606,0.00114606
10,800.5,0.60318,0.50929,0.38804,0.92269,0,0.81498,0.91562,0.83139,0.68113,0.82338,0.93324,0.85907,0.66486,0.48217,0.36181,0.31334,0.82047,0,0.00111069,0.00111069,0.00111069
11,880.938,0.59641,0.49216,0.37967,0.91617,0,0.85155,0.88407,0.88193,0.70499,0.85142,0.88393,0.88216,0.67814,0.49982,0.39229,0.31936,0.83943,0,0.00107532,0.00107532,0.00107532
12,961.137,0.59196,0.49659,0.37179,0.91537,0,0.80769,0.91395,0.83078,0.64286,0.81059,0.91334,0.8343,0.62042,0.54177,0.44946,0.31298,0.86279,0,0.00103995,0.00103995,0.00103995
13,1041.47,0.58305,0.48623,0.36647,0.91261,0,0.81243,0.91317,0.89129,0.71419,0.81141,0.91212,0.89372,0.69924,0.48389,0.40511,0.29889,0.82501,0,0.00100459,0.00100459,0.00100459
14,1121.45,0.58287,0.47137,0.36269,0.91142,0,0.79116,0.87307,0.89854,0.70912,0.78603,0.97948,0.9004,0.69797,0.4936,0.36566,0.28921,0.83329,0,0.000969219,0.000969219,0.000969219
15,1201.05,0.56883,0.47117,0.35146,0.90491,0,0.89259,0.94268,0.95131,0.74722,0.9019,0.95568,0.96449,0.75667,0.47831,0.36685,0.28334,0.82831,0,0.000933851,0.000933851,0.000933851
16,1274.67,0.57337,0.47184,0.34967,0.90491,0,0.87499,0.89789,0.9079,0.70922,0.87683,0.94156,0.92392,0.7045,0.49692,0.36059,0.28236,0.84302,0,0.000898484,0.000898484,0.000898484
17,1348.31,0.55397,0.45565,0.33806,0.8985,0,0.85426,0.87972,0.87895,0.70056,0.85426,0.87972,0.88168,0.68422,0.46475,0.3733,0.26953,0.81352,0,0.000863116,0.000863116,0.000863116
18,1422.02,0.55713,0.46681,0.33597,0.90206,0,0.84877,0.9106,0.88337,0.7365,0.84884,0.91067,0.88345,0.70586,0.45806,0.37708,0.26585,0.80902,0,0.000827748,0.000827748,0.000827748
19,1495.73,0.5504,0.45392,0.33654,0.8999,0,0.88446,0.86014,0.91744,0.74622,0.88341,0.85908,0.91496,0.7386,0.47813,0.35856,0.27722,0.83116,0,0.00079238,0.00079238,0.00079238
20,1569.43,0.54774,0.45494,0.32869,0.89669,0,0.93463,0.87963,0.94212,0.77849,0.93416,0.87916,0.94023,0.77242,0.45818,0.36065,0.26105,0.81085,0,0.000757013,0.000757013,0.000757013
21,1643.18,0.54115,0.44309,0.32274,0.89561,0,0.88068,0.87707,0.90948,0.74636,0.8799,0.8763,0.90833,0.73505,0.43947,0.33895,0.25099,0.8014,0,0.000721645,0.000721645,0.000721645
22,1716.83,0.53701,0.44536,0.31859,0.89462,0,0.88328,0.95209,0.9359,0.77429,0.88267,0.95148,0.93589,0.77271,0.44005,0.34461,0.25032,0.80106,0,0.000686277,0.000686277,0.000686277
23,1790.6,0.53218,0.43884,0.31345,0.89187,0,0.92582,0.90168,0.94759,0.74978,0.92589,0.90175,0.9493,0.76551,0.48709,0.37377,0.26866,0.82382,0,0.000650909,0.000650909,0.000650909
24,1864.32,0.52262,0.43241,0.3104,0.88633,0,0.90642,0.92591,0.95727,0.78294,0.90712,0.92533,0.95706,0.78913,0.44309,0.35946,0.24265,0.80208,0,0.000615542,0.000615542,0.000615542
