epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,49.4185,0.80013,0.95561,2.22759,0.94353,0,0.95659,0.9836,0.98477,0.80814,0.95659,0.9836,0.98477,0.79873,0.48469,0.51041,14.2935,0.59926,0,0.000552562,0.000552562,0.000552562
2,96.8048,0.74933,0.69347,1.18988,0.93245,0,0.97538,0.9911,0.99141,0.8322,0.97578,0.99013,0.9914,0.81658,0.44595,0.52877,2.88453,0.61756,0,0.00109451,0.00109451,0.00109451
3,139.905,0.74735,0.64899,0.859,0.9459,0,0.96816,0.98822,0.98339,0.79011,0.96816,0.98822,0.98339,0.7589,0.49952,0.48959,1.34761,0.65014,0,0.00162271,0.00162271,0.00162271
4,182.535,0.70614,0.65924,0.68115,0.93244,0,0.9816,0.98844,0.99399,0.86079,0.9816,0.98844,0.99398,0.83356,0.4002,0.41208,0.75183,0.62649,0,0.00160511,0.00160511,0.00160511
5,224.99,0.6896,0.64886,0.58787,0.9319,0,0.98232,0.99166,0.98834,0.86643,0.98232,0.99166,0.98833,0.81296,0.40551,0.44022,0.39803,0.61499,0,0.00158448,0.00158448,0.00158448
6,265.107,0.65709,0.63635,0.53485,0.91901,0,0.98982,0.98601,0.99342,0.86203,0.98982,0.98601,0.99342,0.84719,0.38953,0.39111,0.81764,0.61723,0,0.00156385,0.00156385,0.00156385
7,304.584,0.63084,0.6165,0.52727,0.91668,0,0.97848,0.98257,0.9883,0.86526,0.97848,0.98257,0.98816,0.81517,0.3783,0.39634,0.67312,0.61421,0,0.00154323,0.00154323,0.00154323
8,345.17,0.61557,0.59914,0.50425,0.9105,0,0.98295,0.99223,0.99305,0.84846,0.98295,0.99223,0.99305,0.78719,0.40717,0.3882,0.30734,0.625,0,0.0015226,0.0015226,0.0015226
9,387.29,0.6185,0.59123,0.48392,0.90932,0,0.97374,0.99446,0.98459,0.87501,0.97374,0.99446,0.98459,0.85463,0.35772,0.39069,0.51952,0.59779,0,0.00150197,0.00150197,0.00150197
10,429.699,0.5924,0.61923,0.46402,0.9082,0,0.98905,0.99132,0.99404,0.86792,0.98905,0.99132,0.99404,0.79001,0.39417,0.45196,0.39621,0.62325,0,0.00148134,0.00148134,0.00148134
