epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,4.03138,1.9396,5.00532,3.43549,1.83288,0,0.0055,0.74745,0.28361,0.13125,0.003,0.29794,0.00968,0.00166,1.56107,2.81365,3.13574,1.50233,0,0.00013336,0.00013336,0.00013336
2,6.83301,1.2329,1.80246,2.4506,1.25921,0,0.24014,0.64286,0.42809,0.22782,0.09239,0.71904,0.3868,0.14099,1.029,2.02693,2.82561,1.23019,0,0.000279883,0.000279883,0.000279883
3,9.59019,1.10328,1.25505,1.5855,1.16381,0,0.77428,0.424,0.51244,0.29641,0.62839,0.204,0.26,0.10781,0.978,1.74339,2.69002,1.11182,0,0.000422693,0.000422693,0.000422693
4,12.288,1.02063,1.23771,1.38142,1.11671,0,0.96856,0.35773,0.55009,0.33657,0.96856,0.35773,0.58302,0.34212,1.00626,1.15552,2.64144,1.19243,0,0.000561789,0.000561789,0.000561789
5,15.022,1.00108,1.24196,1.33215,1.10526,0,0.47028,0.40918,0.60501,0.35536,0.47485,0.41318,0.62012,0.41032,1.1078,1.1342,2.6117,1.20558,0,0.000697173,0.000697173,0.000697173
6,17.6733,1.04315,1.15083,1.20714,1.13375,0,0.66861,0.21206,0.45425,0.31937,0.67816,0.22006,0.48079,0.29995,0.94908,1.33347,2.34024,1.08403,0,0.000828843,0.000828843,0.000828843
7,20.3561,1.00523,1.07345,1.20093,1.11198,0,0.95206,0.50496,0.82238,0.53071,0.95206,0.50496,0.8277,0.49343,1.05737,1.38081,2.17787,1.14488,0,0.0009568,0.0009568,0.0009568
8,23.1123,0.97893,1.09294,1.17981,1.10126,0,0.90384,0.68836,0.90997,0.59802,0.90718,0.69236,0.91225,0.5541,1.16953,1.11887,1.80765,1.26845,0,0.00108104,0.00108104,0.00108104
9,25.7389,0.99762,1.17428,1.11573,1.08996,0,0.72753,0.32059,0.56752,0.30664,0.8512,0.43086,0.69502,0.30644,1.27118,2.15987,2.39154,1.51856,0,0.00120157,0.00120157,0.00120157
10,28.3622,0.99514,1.10177,1.05136,1.0827,0,0.80124,0.43776,0.70464,0.40837,0.85432,0.47482,0.77617,0.41757,1.13818,1.57116,2.20435,1.27773,0,0.00131839,0.00131839,0.00131839
11,31.0141,0.98311,1.08335,1.06337,1.09476,0,0.59425,0.43868,0.50186,0.30178,0.77902,0.62149,0.72166,0.3465,1.36089,1.73684,2.13277,1.44487,0,0.00143149,0.00143149,0.00143149
12,33.6837,1.0372,1.05078,1.11654,1.12632,0,0.6897,0.82559,0.83277,0.48449,0.69548,0.82584,0.93744,0.53169,1.14969,0.9945,1.51645,1.28843,0,0.00144008,0.00144008,0.00144008
13,36.2694,0.99731,1.0993,1.05194,1.08755,0,0.77409,0.8062,0.95556,0.69575,0.77641,0.8102,0.95917,0.62899,0.94085,1.00607,1.23422,1.10763,0,0.00141945,0.00141945,0.00141945
14,38.9995,0.95478,1.04539,0.98296,1.07253,0,0.75943,0.84306,0.94183,0.60552,0.80654,0.80799,0.95294,0.51071,1.13535,1.31013,1.2401,1.31842,0,0.00139882,0.00139882,0.00139882
15,41.8246,0.98143,1.08335,1.01038,1.07484,0,0.7574,0.83784,0.97418,0.68015,0.7574,0.83784,0.97418,0.57244,1.01585,1.17042,1.21416,1.20919,0,0.00137819,0.00137819,0.00137819
16,44.4549,0.93183,1.02385,0.97099,1.07918,0,0.74482,0.85034,0.9522,0.64595,0.74482,0.85034,0.95429,0.5156,1.07398,1.73278,1.15346,1.17111,0,0.00135756,0.00135756,0.00135756
